270-01-01 s_2-s_7-s_0-s_pt
270-01-02 L-e-t-t-e-r-s-s_cm
270-01-03 O-r-d-e-r-s
270-01-04 a-n-d
270-01-05 I-n-s-t-r-u-c-t-i-o-n-s-s_pt
270-01-06 O-c-t-o-b-e-r
270-01-07 s_1-s_7-s_5-s_5-s_pt
270-03-01 o-n-l-y
270-03-02 f-o-r
270-03-03 t-h-e
270-03-04 p-u-b-l-i-c-k
270-03-05 u-s-e-s_cm
270-03-06 u-n-l-e-s_s-s
270-03-07 b-y
270-03-08 p-a-r-t-i-c-u-s_mi
270-04-01 l-a-r
270-04-02 O-r-d-e-r-s
270-04-03 f-r-o-m
270-04-04 m-e-s_pt
270-04-05 Y-o-u
270-04-06 a-r-e
270-04-07 t-o
270-04-08 s-e-n-d
270-05-01 d-o-w-n
270-05-02 a
270-05-03 B-a-r-r-e-l
270-05-04 o-f
270-05-05 F-l-i-n-t-s
270-05-06 w-i-t-h
270-05-07 t-h-e
270-05-08 A-r-m-s-s_cm
270-05-09 t-o
270-06-01 W-i-n-c-h-e-s-t-e-r-s_cm
270-06-02 a-n-d
270-06-03 a-b-o-u-t
270-06-04 t-w-o
270-06-05 t-h-o-u-s-a-n-d
270-06-06 w-e-i-g-h-t
270-07-01 o-f
270-07-02 F-l-o-u-r-s_cm
270-07-03 f-o-r
270-07-04 t-h-e
270-07-05 t-w-o
270-07-06 C-o-m-p-a-n-i-e-s
270-07-07 o-f
270-07-08 R-a-n-g-e-r-s-s_sq
270-08-01 t-w-e-l-v-e
270-08-02 h-u-n-d-r-e-d
270-08-03 o-f
270-08-04 w-h-i-c-h
270-08-05 t-o
270-08-06 b-e
270-08-07 d-e-l-i-v-e-r-e-d
270-09-01 C-a-p-t-a-i-n
270-09-02 A-s-h-b-y
270-09-03 a-n-d
270-09-04 C-o-m-p-a-n-y-s_cm
270-09-05 a-t
270-09-06 t-h-e
270-10-01 P-l-a-n-t-a-t-i-o-n
270-10-02 o-f
270-10-03 C-h-a-r-l-e-s
270-10-04 S-e-l-l-a-r-s
270-10-05 s_mi
270-10-06 t-h-e
270-10-07 r-e-s-t
270-10-08 t-o
270-10-09 C-a-p-t-a-i-n
270-11-01 C-o-c-k-e-s-s_qt
270-11-02 C-o-m-p-a-n-y-s_cm
270-11-03 a-t
270-11-04 N-i-c-h-o-l-a-s
270-11-05 R-e-a-s-m-e-r-s-s_pt
270-12-01 O-c-t-o-b-e-r
270-12-02 s_2-s_6th-s_pt
270-12-03 s_GW
270-14-01 s_2-s_8th
270-14-02 W-i-n-c-h-e-s-t-e-r-s_qo
270-14-03 O-c-t-o-b-e-r
270-14-04 s_2-s_8th-s_cm
270-14-05 s_1-s_7-s_5-s_5-s_pt
270-15-01 P-a-r-o-l-e
270-15-02 H-a-m-p-t-o-n-s_pt
270-16-01 T-h-e
270-16-02 O-f-f-i-c-e-r-s
270-16-03 w-h-o
270-16-04 c-a-m-e
270-16-05 d-o-w-n
270-17-01 f-r-o-m
270-17-02 F-o-r-t
270-17-03 C-u-m-b-e-r-l-a-n-d
270-17-04 w-i-t-h
270-17-05 C-o-l-o-n-e-l
270-18-01 W-a-s-h-i-n-g-t-o-n-s_cm
270-18-02 a-r-e
270-18-03 i-m-m-e-d-i-a-t-e-l-y
270-18-04 t-o
270-18-05 g-o
270-18-06 R-e-c-r-u-i-s_mi
270-19-01 t-i-n-g-s_sq
270-19-02 a-n-d
270-19-03 t-h-e-y
270-19-04 a-r-e
270-19-05 a-l-l-o-w-e-d
270-19-06 u-n-t-i-l
270-19-07 t-h-e
270-19-08 s_1st-s_pt
270-19-09 o-f
270-19-10 D-e-s_mi
270-20-01 c-e-m-b-e-r-s_sq
270-20-02 a-t
